ca.rmen.android.poetassistant - Crashes by Android Version for 2017-03-15 - 2019-02-24
,,Metric,Crashes,Notes
,,Dimension,All Android versions
Period,Date
2017-03-15 - 2019-02-24,2018-04-17,,-
2017-03-15 - 2019-02-24,2018-04-18,,2,Rollout of release - Increased rollout of 1.26.4 to 100%
2017-03-15 - 2019-02-24,2018-04-19,,7
2017-03-15 - 2019-02-24,2018-04-20,,3
2017-03-15 - 2019-02-24,2018-04-21,,9
2017-03-15 - 2019-02-24,2018-04-22,,1
2017-03-15 - 2019-02-24,2018-04-23,,9
2017-03-15 - 2019-02-24,2018-04-24,,5
2017-03-15 - 2019-02-24,2018-04-25,,1
2017-03-15 - 2019-02-24,2018-04-26,,-
2017-03-15 - 2019-02-24,2018-04-27,,1
2017-03-15 - 2019-02-24,2018-04-28,,1
2017-03-15 - 2019-02-24,2018-04-29,,2
2017-03-15 - 2019-02-24,2018-04-30,,-
2017-03-15 - 2019-02-24,2018-05-01,,30
2017-03-15 - 2019-02-24,2018-05-02,,2
2017-03-15 - 2019-02-24,2018-05-03,,1
2017-03-15 - 2019-02-24,2018-05-04,,2
2017-03-15 - 2019-02-24,2018-05-05,,4,Rollout of release - Started rollout of 1.26.5 at 15%
2017-03-15 - 2019-02-24,2018-05-06,,-
2017-03-15 - 2019-02-24,2018-05-07,,-
2017-03-15 - 2019-02-24,2018-05-08,,1
2017-03-15 - 2019-02-24,2018-05-09,,-
2017-03-15 - 2019-02-24,2018-05-10,,-
2017-03-15 - 2019-02-24,2018-05-11,,2
2017-03-15 - 2019-02-24,2018-05-12,,2
2017-03-15 - 2019-02-24,2018-05-13,,1
2017-03-15 - 2019-02-24,2018-05-14,,2
2017-03-15 - 2019-02-24,2018-05-15,,6
2017-03-15 - 2019-02-24,2018-05-16,,-
2017-03-15 - 2019-02-24,2018-05-17,,2
2017-03-15 - 2019-02-24,2018-05-18,,1
2017-03-15 - 2019-02-24,2018-05-19,,1
2017-03-15 - 2019-02-24,2018-05-20,,4,Rollout of release - Increased rollout of 1.26.5 to 50%
2017-03-15 - 2019-02-24,2018-05-21,,2
2017-03-15 - 2019-02-24,2018-05-22,,1
